State,RegionName
Alabama,Auburn University
Alabama,University of North Alabama
Alabama,Jacksonville State University
Alabama,University of West Alabama
Alabama,University of Montevallo
Alabama,Troy University
Alabama,University of Alabama, Stillman College, Shelton State
Alabama,Tuskegee University
Alaska,University of Alaska Fairbanks
Arizona,Northern Arizona University
Arizona,Arizona State University
Arizona,University of Arizona
Arkansas,Henderson State University, Ouachita Baptist University
Arkansas,Central Baptist College, Hendrix College, University of Central Arkansas
Arkansas,University of Arkansas
Arkansas,Arkansas State University
Arkansas,Southern Arkansas University
Arkansas,University of Arkansas at Monticello
Arkansas,Arkansas Tech University
Arkansas,Harding University
California,Pacific Union College
California,Humboldt State University
California,University of California, Berkeley
California,California State University, Chico
California,Claremont McKenna College, Pomona College, Harvey Mudd College, Scripps College, Pitzer College, Keck Graduate Institute, Claremont Graduate University
California,California State University, Sonoma
California,University of California, Davis
California,University of California, Irvine
California,University of California, Santa Barbara
California,University of Southern California
California,University of California, Merced
California,Chapman University
California,Stanford University
California,Cal Poly Pomona, WesternU
California,University of Redlands
California,University of California, Riverside, California Baptist University, La Sierra University
California,California State University, Sacramento
California,California State University, San Bernardino, American Sports University
California,University of California, San Diego, San Diego State University
California,California Polytechnic State University
California,Fielding Graduate University, Santa Barbara City College, University of California, Santa Barbara, Westmont College
California,University of California, Santa Cruz
California,California State University, Stanislaus
California,University of California, Los Angeles
California,Whittier CollegeRio Hondo College
Colorado,Adams State College
Colorado,University of Colorado at Boulder
Colorado,Fort Lewis College
Colorado,Colorado State University
Colorado,Colorado School of Mines
Colorado,Colorado Mesa University
Colorado,University of Northern Colorado
Colorado,Western State College
Colorado,Colorado State University-Pueblo
Connecticut,Fairfield University, Sacred Heart University
Connecticut,Wesleyan University
Connecticut,Central Connecticut State University
Connecticut,Yale University, University of New Haven, Southern Connecticut State University, Albertus Magnus College, Quinnipiac University
Connecticut,Connecticut College, US Coast Guard Academy, Mitchell College
Connecticut,University of Connecticut
Connecticut,Eastern Connecticut State University
Delaware,Delaware State University
Delaware,University of Delaware
Florida,Ave Maria University
Florida,Florida Atlantic University
Florida,University of Miami
Florida,Stetson University
Florida,Florida Gulf Coast University
Florida,University of Florida, Santa Fe College
Florida,University of Central Florida
Florida,New College of Florida, Ringling College of Art and Design, State College of Florida, Manatee-Sarasota, University of South Florida Sarasota-Manatee
Florida,Flagler College
Florida,St. Leo University
Florida,Florida State University, Florida A&M University
Florida,University of South Florida
Georgia,Albany State University
Georgia,University of Georgia
Georgia,Georgia State University, Georgia Tech, Emory
Georgia,University of West Georgia
Georgia,Piedmont College
